Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription	Original Transcription (Richard Griscom)	Original Transcription (Yonah Ndege)	Translation	
00:24:08.033	1448.033	00:24:08.856	1448.856	00:00:00.823	0.823	2018-07-26_Omaiyo_2_100	ŋ̀gárúrú(nì)	ǹgárárùm(i)	ngarurumi	bone(s)
00:24:28.637	1468.637	00:24:29.727	1469.727	00:00:01.090	1.09	2018-07-26_Omaiyo_2_101	kìmèrúndà	kìmèrúndà	kimedunda	nose(s)
00:24:32.092	1472.092	00:24:33.264	1473.264	00:00:01.172	1.172	2018-07-26_Omaiyo_2_102	kìmèrúndà	kìmèrúndà	kimedunda	nose(s)
00:24:35.073	1475.073	00:24:36.142	1476.142	00:00:01.069	1.069	2018-07-26_Omaiyo_2_103	kìmèrúndà	kìmèrúndà	kimedunda	nose(s)
00:24:42.948	1482.948	00:24:44.120	1484.12	00:00:01.172	1.172	2018-07-26_Omaiyo_2_104	kìmèrúndà	kìmèrúndà	kimedunda	nose(s)
00:25:30.830	1530.83	00:25:32.145	1532.145	00:00:01.315	1.315	2018-07-26_Omaiyo_2_105	(ŋ̀g)áíʃágà	ǹgáíʃágà	ngashaga	hear
00:25:33.955	1533.955	00:25:35.271	1535.271	00:00:01.316	1.316	2018-07-26_Omaiyo_2_106	(ŋ̀g)áíʃágà	ǹgáíʃágà	ngashaga	hear
00:25:39.671	1539.671	00:25:40.781	1540.781	00:00:01.110	1.11	2018-07-26_Omaiyo_2_107	(ŋ̀g)áíʃágà	ǹgáíʃágà	ngashaga	hear
00:26:21.738	1581.738	00:26:22.931	1582.931	00:00:01.193	1.193	2018-07-26_Omaiyo_2_108	ʃàùrágè	ʃàùrágè	shaudage	seed
00:26:24.062	1584.062	00:26:25.336	1585.336	00:00:01.274	1.274	2018-07-26_Omaiyo_2_109	ʃàùdrágè	ʃàùrágè	shaudage	seed
00:26:35.549	1595.549	00:26:36.742	1596.742	00:00:01.193	1.193	2018-07-26_Omaiyo_2_110	ʃàùdrágè	ʃàùrágè	shaudage	seed
00:26:37.421	1597.421	00:26:38.079	1598.079	00:00:00.658	0.658	2018-07-26_Omaiyo_2_111	ʃàùdrágè	ʃàùrágè	shaudage	seed
00:26:38.654	1598.654	00:26:39.662	1599.662	00:00:01.008	1.008	2018-07-26_Omaiyo_2_112	ʃàùdrágè	ʃàùrágè	shaudage	seed
00:26:59.372	1619.372	00:27:00.586	1620.586	00:00:01.214	1.214	2018-07-26_Omaiyo_2_113	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:27:01.840	1621.84	00:27:02.786	1622.786	00:00:00.946	0.946	2018-07-26_Omaiyo_2_114	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:27:04.533	1624.533	00:27:05.356	1625.356	00:00:00.823	0.823	2018-07-26_Omaiyo_2_115	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:27:09.119	1629.119	00:27:10.147	1630.147	00:00:01.028	1.028	2018-07-26_Omaiyo_2_116	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:27:13.745	1633.745	00:27:14.485	1634.485	00:00:00.740	0.74	2018-07-26_Omaiyo_2_117	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:27:24.746	1644.746	00:27:25.774	1645.774	00:00:01.028	1.028	2018-07-26_Omaiyo_2_118	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:27:26.935	1646.935	00:27:27.593	1647.593	00:00:00.658	0.658	2018-07-26_Omaiyo_2_119	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:27:27.624	1647.624	00:27:28.272	1648.272	00:00:00.648	0.648	2018-07-26_Omaiyo_2_120	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:27:31.962	1651.962	00:27:32.754	1652.754	00:00:00.792	0.792	2018-07-26_Omaiyo_2_121	ŋ̀gàìʃíjè	ǹgàìʃíjè	ngayshiye	heart(s)
00:28:38.285	1718.285	00:28:39.488	1719.488	00:00:01.203	1.203	2018-07-26_Omaiyo_2_122	kàjémbéjà	kàjémbéjà	kayembeya	nail(s), claw(s)
00:28:41.771	1721.771	00:28:43.066	1723.066	00:00:01.295	1.295	2018-07-26_Omaiyo_2_123	kàjémbéjà	kàjémbéjà	kayembeya	nail(s), claw(s)
00:28:47.375	1727.375	00:28:48.300	1728.3	00:00:00.925	0.925	2018-07-26_Omaiyo_2_124	kàjémbéjà	kàjémbéjà	kayembeya	nail(s), claw(s)
00:29:27.076	1767.076	00:29:28.063	1768.063	00:00:00.987	0.987	2018-07-26_Omaiyo_2_125	kétámù	kétámù	ketamu	fat
00:29:31.127	1771.127	00:29:32.258	1772.258	00:00:01.131	1.131	2018-07-26_Omaiyo_2_126	kétámù	kétámù	ketamu	fat
00:29:35.825	1775.825	00:29:36.771	1776.771	00:00:00.946	0.946	2018-07-26_Omaiyo_2_127	kétámù	kétámù	ketamu	fat
00:29:37.090	1777.09	00:29:37.953	1777.953	00:00:00.863	0.863	2018-07-26_Omaiyo_2_128	kétámù	kétámù	ketamu	fat
00:29:38.231	1778.231	00:29:39.135	1779.135	00:00:00.904	0.904	2018-07-26_Omaiyo_2_129	kétámù	kétámù	ketamu	fat
00:29:54.935	1794.935	00:29:55.850	1795.85	00:00:00.915	0.915	2018-07-26_Omaiyo_2_130	kùnyírtá	kùnyúrtá	kunyirta	star
00:30:17.294	1817.294	00:30:18.219	1818.219	00:00:00.925	0.925	2018-07-26_Omaiyo_2_131	kùnyírtá	kùnyúrtá	kunyirta	star
00:30:27.088	1827.088	00:30:28.024	1828.024	00:00:00.936	0.936	2018-07-26_Omaiyo_2_132	kùnyírtá	kùnyúrtá	kunyirta	star
00:30:29.401	1829.401	00:30:30.111	1830.111	00:00:00.710	0.71	2018-07-26_Omaiyo_2_133	kùnyírtá	kùnyúrtá	kunyirta	star
