English Translation,Reliability Rating,"Richard Griscom (2018, female speaker)","Yonah Ndege (2018, female speaker)","Richard Griscom (2018, male speakers)","Yonah Ndege (2018, male speakers)",Daudi Peterson (2018),Paulo Parana (2018),Alina (2018),Olewanga (2017),Daudi (2014),Dismas (2014),Bunga (2014),Sands (2014),Daudi (2012)
small,1,,,,,,,,,,,,,kononauma
hill,1,,,,,,,,,,,,,endoinyo
who’s boy is this?,1,,,,,,,,,,,,,shoronika naduruju
God,1,,,,,,,,,,,,,kirusita
cattle,2,,,,,seesa kenapeta s.&pl. (“I see the cattle”),seisa kenapeta (“I see the cattle”),sesaye or sessa kenapeta,kinapita,,,,,kinapita
Non-dorobo,1,,,,,,,,,,,,,konatutakukuyaya
Bee-hive,1,,,,,,,,,,,,,ohomai
European,1,,,,,,,,,,,,,osa
food,1,,,,,,,,,,,,,ohowanai
hyena,1,,,,,,,,,,,,,oringojinia (this is a Maa word but they say it is theirs and the Maasai borrowed it)
berries,1,,,,,,,,,,,,,homaiya
day,1,,,,,,,,,,,,,kokol’aa
trip (let’s go),1,,,,,,,,,,,,,ng’yeten
land,1,,,,,,,,,,,,,ohuwauta
to count,1,,,,,,,,,,,,,uhaita ivere
clothing,1,,,,,,,,,,,,,usaa
skin clothing,1,,,,,,,,,,,,,tururek
urine,1,,,,,,,,,,,,,ngolak (Maa)
throat,1,,,,,,,,,,,,,armalagutai
back of neck,1,,,,,,,,,,,,,alaianda
liar,1,,,,,,,,,,,,,kutumweeka
tracks,1,,,,,,,,,,,,,sesa umayu
traditional herbal medicine,1,,,,,,,,,,,,,ohom’a
vagina,1,,,,,,,,,,,,,sheretaepeta
to have sex,1,,,,,,,,,,,,,ndahe ong’wala
penis,1,,,,,,,,,,,,,oshoma
misfortune,1,,,,,,,,,,,,,ohomaiyu
poison,1,,,,,,,,,,,,,araneti
death,1,,,,,,,,,,,,,omaa
buttocks,1,,,,,,,,,,,,,umorro
to be sick,1,,,,,,,,,,,,,oho’ita
police or rangers,1,,,,,,,,,,,,,huyaiya
tobacco,1,,,,,,,,,,,,,kirangeta
barter among the Dorobo,1,,,,,,,,,,,,,ohomola
friend,1,,,,,,,,,,,,,kwet’en
vultures,1,,,,,,,,,,,,,sakeri nderit
go well,1,,,,,,,,,,,,,oswanya
donkey,1,,,,,,,,kuraeta,,,,,
